"Geography","Persons"
"Cardston (T), Alberta","3,461"
"Grande Cache (T), Alberta","3,675"
"Siksika 146 (IRI), Alberta","3,590"
"Samson 137 (IRI), Alberta","3,587"
"Penhold (T), Alberta","3,809"
"Two Hills County No. 21 (MD), Alberta","3,355"
"Thorhild County (MD), Alberta","3,163"
"Three Hills (T), Alberta","3,225"
"Opportunity No. 17 (MD), Alberta","3,231"
"Gibbons (T), Alberta","3,091"
"High Level (T), Alberta","3,263"
"Minburn County No. 27 (MD), Alberta","3,116"
"Clear Hills (MD), Alberta","3,135"
"Crossfield (T), Alberta","3,432"
"Fairview (T), Alberta","2,899"
"Fort Macleod (T), Alberta","3,035"
"Athabasca (T), Alberta","2,834"
"Pincher Creek No. 9 (MD), Alberta","3,099"
"Lesser Slave River No.124 (MD), Alberta","2,738"
"Sundre (T), Alberta","2,612"
"Grimshaw (T), Alberta","2,656"
"Black Diamond (T), Alberta","2,786"
"Coalhurst (T), Alberta","3,050"
"Sexsmith (T), Alberta","2,848"
"High Prairie (T), Alberta","2,407"
"Turner Valley (T), Alberta","2,791"
"Hanna (T), Alberta","2,587"
"Rimbey (T), Alberta","2,667"
"Ermineskin 138 (IRI), Alberta","2,538"
"Beaverlodge (T), Alberta","2,483"
"Magrath (T), Alberta","2,549"
"Tsuu T'ina Nation 145 (Sarcee 145) (IRI), Alberta","2,609"
"Calmar (T), Alberta","2,438"
"Saddle Hills County (MD), Alberta","2,237"
"Provost No. 52 (MD), Alberta","2,183"
"Nanton (T), Alberta","2,173"
"Paintearth County No. 18 (MD), Alberta","2,086"
"Tofield (T), Alberta","1,928"
"Starland County (MD), Alberta","2,060"
"Redwater (T), Alberta","2,155"
"Fox Lake 162 (IRI), Alberta","2,397"
"Smoky River No. 130 (MD), Alberta","2,034"
"Provost (T), Alberta","1,926"
"Bow Island (T), Alberta","2,003"
"Fox Creek (T), Alberta","1,826"
"Millet (T), Alberta","1,872"
"Vulcan (T), Alberta","1,876"
"Northern Sunrise County (MD), Alberta","1,745"
"Special Area No. 2 (SA), Alberta","1,874"
"Valleyview (T), Alberta","1,855"
"Picture Butte (T), Alberta","2,132"
"Lamont (T), Alberta","1,739"
"Peace No. 135 (MD), Alberta","1,812"
"Stony Plain 135 (IRI), Alberta","1,841"
"Fairview No. 136 (MD), Alberta","1,589"
"Wabamun 133A (IRI), Alberta","1,681"
"Piikani 147 (IRI), Alberta","1,625"
"Birch Hills County (MD), Alberta","1,554"
"Bon Accord (T), Alberta","1,512"
"Wembley (T), Alberta","1,622"
"Elk Point (T), Alberta","1,192"
"Sturgeon Lake 154 (IRI), Alberta","1,532"
"Bighorn No. 8 (MD), Alberta","1,561"
"Legal (T), Alberta","1,337"
"Two Hills (T), Alberta","1,386"
"White Fish Lake 128 (IRI), Alberta","1,334"
"Mayerthorpe (T), Alberta","1,189"
"Bruderheim (T), Alberta","1,309"
"Swan Hills (T), Alberta","1,234"
"Nobleford (VL), Alberta","1,501"
"Bowden (T), Alberta","1,318"
"Special Area No. 4 (SA), Alberta","1,243"
"Irricana (T), Alberta","1,211"
"Vauxhall (T), Alberta","1,357"
"Bassano (T), Alberta","1,162"
"John d'Or Prairie 215 (IRI), Alberta","1,303"
"Louis Bull 138B (IRI), Alberta","1,353"
"Manning (T), Alberta","1,104"
"Eckville (T), Alberta","1,148"
"Alexander 134 (IRI), Alberta","1,148"
"Duchess (VL), Alberta","1,138"
"Bentley (T), Alberta","1,063"
"Viking (T), Alberta","975"
"Improvement District No.  9 Banff (ID), Alberta","986"
"Trochu (T), Alberta","985"
"Falher (T), Alberta","1,098"
"Special Area No. 3 (SA), Alberta","1,004"
"Onoway (T), Alberta","850"
"Alberta Beach (VL), Alberta","1,038"
"Oyen (T), Alberta","953"
"Thorsby (VL), Alberta","981"
"Spirit River (T), Alberta","954"
"Killam (T), Alberta","881"
"Stirling (VL), Alberta","1,074"
"Kehewin 123 (IRI), Alberta","982"
"Wabasca 166D (IRI), Alberta","937"
"Smoky Lake (T), Alberta","919"
"Barnwell (VL), Alberta","1,121"
"Kitscoty (VL), Alberta","869"
"Coronation (T), Alberta","905"
"Castor (T), Alberta","874"
"Unipouheos 121 (IRI), Alberta","905"
"Delburne (VL), Alberta","898"
"Hay Lake 209 (IRI), Alberta","870"
"Forestburg (VL), Alberta","866"
"Mundare (T), Alberta","861"
"Boyle (VL), Alberta","828"
"Drift Pile River 150 (IRI), Alberta","862"
"Bashaw (T), Alberta","777"
"Mannville (VL), Alberta","775"
"Hythe (VL), Alberta","721"
"Milk River (T), Alberta","801"
"Linden (VL), Alberta","832"
"Beiseker (VL), Alberta","821"
"Daysland (T), Alberta","845"
"Sedgewick (T), Alberta","831"
"O'Chiese 203 (IRI), Alberta","849"
"Rainbow Lake (T), Alberta","648"
"Warburg (VL), Alberta","798"
"Alexis 133 (IRI), Alberta","829"
"Sunchild 202 (IRI), Alberta","789"
"Fort Mackay (S-É), Alberta","759"
"Alix (VL), Alberta","790"
"Woodland Cree 226 (IRI), Alberta","740"
"Utikoomak Lake 155 (IRI), Alberta","810"
"Consort (VL), Alberta","718"
"Clive (VL), Alberta","762"
"Spring Lake (VL), Alberta","737"
"Spirit River No. 133 (MD), Alberta","799"
"McLennan (T), Alberta","649"
"Sucker Creek 150A (IRI), Alberta","720"
"Wabamun (VL), Alberta","666"
"Cold Lake 149 (IRI), Alberta","710"
"Wabasca 166A (IRI), Alberta","681"
"Acme (VL), Alberta","707"
"Improvement District No. 24 Wood Buffalo (ID), Alberta","743"
"Montana 139 (IRI), Alberta","682"
"Rycroft (VL), Alberta","596"
"Eden Valley 216 (IRI), Alberta","658"
"Breton (VL), Alberta","518"
"Marwayne (VL), Alberta","501"
"Loon Lake 235 (IRI), Alberta","590"
"Hardisty (T), Alberta","501"
"Puskiakiwenin 122 (IRI), Alberta","568"
"Foremost (VL), Alberta","554"
"Stavely (T), Alberta","529"
"Berwyn (VL), Alberta","541"
"Irma (VL), Alberta","550"
"Caroline (VL), Alberta","464"
"Bushe River 207 (IRI), Alberta","533"
"Hay Lakes (VL), Alberta","524"
"Glendon (VL), Alberta","466"
"Acadia No. 34 (MD), Alberta","506"
"Ryley (VL), Alberta","473"
"Horse Lakes 152B (IRI), Alberta","489"
"Little Buffalo (S-É), Alberta","489"
"Carbon (VL), Alberta","441"
"Cremona (VL), Alberta","429"
"Clyde (VL), Alberta","454"
"Bawlf (VL), Alberta","431"
"Pigeon Lake 138A (IRI), Alberta","439"
"Andrew (VL), Alberta","420"
"Janvier 194 (IRI), Alberta","436"
"Beaver Lake 131 (IRI), Alberta","432"
"Swan River 150E (IRI), Alberta","428"
"Granum (T), Alberta","441"
"Rosemary (VL), Alberta","416"
"Edgerton (VL), Alberta","369"
"Warner (VL), Alberta","371"
"Nampa (VL), Alberta","373"
"Standard (VL), Alberta","399"
"Holden (VL), Alberta","366"
"Hines Creek (VL), Alberta","298"
"Donnelly (VL), Alberta","332"
"Barons (VL), Alberta","335"
"Big Valley (VL), Alberta","378"
"Myrnam (VL), Alberta","336"
"Chauvin (VL), Alberta","278"
"Willingdon (VL), Alberta","322"
"Rockyford (VL), Alberta","322"
"Glenwood (VL), Alberta","353"
"Champion (VL), Alberta","344"
"Longview (VL), Alberta","279"
"Upper Hay River 212 (IRI), Alberta","294"
"Elnora (VL), Alberta","292"
"Vilna (VL), Alberta","285"
"Sandy Beach (SV), Alberta","260"
"Norglenwold (SV), Alberta","276"
"Chipman (VL), Alberta","266"
"Jean Baptiste Gambler 183 (IRI), Alberta","263"
"Lougheed (VL), Alberta","267"
"Tall Cree 173 (IRI), Alberta","285"
"Val Quentin (SV), Alberta","263"
"Hughenden (VL), Alberta","235"
"Coutts (VL), Alberta","234"
"Morrin (VL), Alberta","237"
"Carmangay (VL), Alberta","286"
"Big Horn 144A (IRI), Alberta","255"
"Kananaskis (ID), Alberta","283"
"Island Lake (SV), Alberta","225"
"Tall Cree 173A (IRI), Alberta","236"
"Bittern Lake (VL), Alberta","217"
"Boyer 164 (IRI), Alberta","227"
"Girouxville (VL), Alberta","228"
"Donalda (VL), Alberta","206"
"Delia (VL), Alberta","234"
"Child Lake 164A (IRI), Alberta","227"
"Jarvis Bay (SV), Alberta","223"
"Cowley (VL), Alberta","200"
"Makaoo (Part) 120 (IRI), Alberta","215"
"Arrowwood (VL), Alberta","172"
"Veteran (VL), Alberta","203"
"Amisk (VL), Alberta","213"
"Botha (VL), Alberta","212"
"Czar (VL), Alberta","210"
"Ferintosh (VL), Alberta","210"
"Munson (VL), Alberta","193"
"Innisfree (VL), Alberta","188"
"Wabasca 166B (IRI), Alberta","199"
"Hussar (VL), Alberta","181"
"Gregoire Lake 176 (IRI), Alberta","195"
"Wabasca 166C (IRI), Alberta","192"
"Rosalind (VL), Alberta","182"
"Dewberry (VL), Alberta","185"
"Waskatenau (VL), Alberta","211"
"Heart Lake 167 (IRI), Alberta","197"
"Paradise Valley (VL), Alberta","213"
"Gull Lake (SV), Alberta","198"
"Seba Beach (SV), Alberta","152"
"Sunset Point (SV), Alberta","160"
"Lomond (VL), Alberta","221"
"Cold Lake 149B (IRI), Alberta","169"
"Wabasca 166 (IRI), Alberta","165"
"Hill Spring (VL), Alberta","193"
"Heisler (VL), Alberta","162"
"Golden Days (SV), Alberta","174"
"Ross Haven (SV), Alberta","147"
"Silver Sands (SV), Alberta","152"
"Kapawe'no First Nation (Freeman 150B) (IRI), Alberta","159"
"Youngstown (VL), Alberta","156"
"Alliance (VL), Alberta","157"
"Parkland Beach (SV), Alberta","150"
"Edberg (VL), Alberta","147"
"Pelican Narrows (SV), Alberta","152"
"Woodland Cree 228 (IRI), Alberta","160"
"Duncan's 151A (IRI), Alberta","154"
"West Cove (SV), Alberta","175"
"Whispering Hills (SV), Alberta","138"
"Yellowstone (SV), Alberta","123"
"Empress (VL), Alberta","136"
"Sunrise Beach (SV), Alberta","141"
"Gregoire Lake 176A (IRI), Alberta","134"
"Utikoomak Lake 155A (IRI), Alberta","131"
"Allison Bay 219 (IRI), Alberta","135"
"White Sands (SV), Alberta","122"
"Birchcliff (SV), Alberta","145"
"Grandview (SV), Alberta","127"
"Halkirk (VL), Alberta","119"
"Cereal (VL), Alberta","108"
"Ma-Me-O Beach (SV), Alberta","103"
"Bondiss (SV), Alberta","101"
"Desmarais (S-É), Alberta","94"
"Improvement District No.  4 Waterton (ID), Alberta","107"
"Poplar Bay (SV), Alberta","106"
"Dog Head 218 (IRI), Alberta","100"
"Fort Vermilion 173B (IRI), Alberta","99"
"Nakamun Park (SV), Alberta","97"
"Ranchland No. 66 (MD), Alberta","86"
"Milo (VL), Alberta","103"
"Mewatha Beach (SV), Alberta","88"
"Rochon Sands (SV), Alberta","84"
"Bonnyville Beach (SV), Alberta","96"
"Ghost Lake (SV), Alberta","94"
"Sunbreaker Cove (SV), Alberta","91"
"Sundance Beach (SV), Alberta","83"
"South View (SV), Alberta","68"
"South Baptiste (SV), Alberta","61"
"Silver Beach (SV), Alberta","70"
"Island Lake South (SV), Alberta","57"
"Improvement District No. 12 Jasper Park (ID), Alberta","41"
"Sturgeon Lake 154A (IRI), Alberta","55"
"Crystal Springs (SV), Alberta","55"
"Horseshoe Bay (SV), Alberta","53"
"Waiparous (SV), Alberta","46"
"Sunset Beach (SV), Alberta","53"
"Birch Cove (SV), Alberta","46"
"Larkspur (SV), Alberta","47"
"Half Moon Bay (SV), Alberta","41"
"Gadsby (VL), Alberta","56"
"Cold Lake 149A (IRI), Alberta","42"
"Norris Beach (SV), Alberta","50"
"West Baptiste (SV), Alberta","35"
"Wabamun 133B (IRI), Alberta","31"
"Lakeview (SV), Alberta","33"
"Thabacha Náre 196A (IRI), Alberta","27"
"Samson 137A (IRI), Alberta","27"
"Argentia Beach (SV), Alberta","26"
"Itaska Beach (SV), Alberta","23"
"Thebathi 196 (IRI), Alberta","26"
"Sawridge 150G (IRI), Alberta","22"
"Burnstick Lake (SV), Alberta","16"
"Betula Beach (SV), Alberta","15"
"Point Alison (SV), Alberta","10"
"Kapasiwin (SV), Alberta","11"
"Castle Island (SV), Alberta","10"
"Sawridge 150H (IRI), Alberta","10"
"Beaver Ranch 163 (IRI), Alberta","10"
"Kapawe'no First Nation (Pakashan 150D) (IRI), Alberta","4"
"Blood 148A (IRI), Alberta","0"
"Improvement District No. 13 Elk Island (ID), Alberta","1"
"Improvement District No. 349 (ID), Alberta","1"
"Improvement District No. 25 Willmore Wilderness (ID), Alberta","0"
"Chipewyan 201A (IRI), Alberta","0"
"Old Fort 217 (IRI), Alberta","0"
"Clear Hills 152C (IRI), Alberta","0"
"Carcajou 187 (S-É), Alberta","0"
"British Columbia","5,155,495"
"Census subdivisions with 5,000-plus population, British Columbia","4,628,759"
"Vancouver (CY), British Columbia","699,271"
"Surrey (CY), British Columbia","600,964"
"Burnaby (CY), British Columbia","257,851"
"Richmond (CY), British Columbia","215,149"
"Abbotsford (CY), British Columbia","162,375"
"Coquitlam (CY), British Columbia","152,305"
"Kelowna (CY), British Columbia","146,409"
"Langley (DM), British Columbia","133,389"
"Saanich (DM), British Columbia","124,502"
"Delta (DM), British Columbia","111,458"
"Kamloops (CY), British Columbia","100,991"
"Nanaimo (CY), British Columbia","101,146"
"Victoria (CY), British Columbia","94,857"
"North Vancouver (DM), British Columbia","90,444"
"Chilliwack (CY), British Columbia","94,658"
"Maple Ridge (CY), British Columbia","91,839"
"Prince George (CY), British Columbia","82,118"
"New Westminster (CY), British Columbia","82,520"
"Port Coquitlam (CY), British Columbia","63,797"
"North Vancouver (CY), British Columbia","58,670"
"West Vancouver (DM), British Columbia","44,563"
"Vernon (CY), British Columbia","44,196"
"Mission (DM), British Columbia","42,860"
"Langford (CY), British Columbia","44,394"
"Penticton (CY), British Columbia","36,304"
"Port Moody (CY), British Columbia","35,262"
"West Kelowna (DM), British Columbia","36,811"
"Campbell River (CY), British Columbia","36,145"
"North Cowichan (DM), British Columbia","32,429"
"Langley (CY), British Columbia","28,085"
"Courtenay (CY), British Columbia","28,557"
"Fort St. John (CY), British Columbia","22,129"
"Cranbrook (CY), British Columbia","21,522"
"Squamish (DM), British Columbia","21,891"
"White Rock (CY), British Columbia","21,060"
"Pitt Meadows (CY), British Columbia","19,834"
"Oak Bay (DM), British Columbia","18,841"
"Esquimalt (DM), British Columbia","18,892"
"Salmon Arm (CY), British Columbia","19,344"
"Port Alberni (CY), British Columbia","19,034"
"Colwood (CY), British Columbia","19,366"
"Central Saanich (DM), British Columbia","18,430"
"Greater Vancouver A (RDA), British Columbia","18,176"
"Comox (T), British Columbia","15,161"
"Sooke (DM), British Columbia","14,935"
"Powell River (CY), British Columbia","13,958"
"Lake Country (DM), British Columbia","15,826"
"Parksville (CY), British Columbia","13,511"
"Dawson Creek (CY), British Columbia","13,160"
"Prince Rupert (CY), British Columbia","13,004"
"Whistler (DM), British Columbia","14,370"
"Terrace (CY), British Columbia","12,967"
"Sidney (T), British Columbia","12,228"
"Summerland (DM), British Columbia","12,673"
"North Saanich (DM), British Columbia","12,070"
"Williams Lake (CY), British Columbia","11,427"
"Coldstream (DM), British Columbia","11,621"
"Nelson (CY), British Columbia","11,576"
"Saltspring Island (RDA), British Columbia","11,618"
"View Royal (T), British Columbia","11,843"
"Sechelt (DM), British Columbia","10,873"
"Quesnel (CY), British Columbia","10,318"
"Qualicum Beach (T), British Columbia","9,233"
"Comox Valley C (Puntledge - Black Creek) (RDA), British Columbia","9,431"
"Cowichan Valley B (RDA), British Columbia","9,218"
"Ladysmith (T), British Columbia","9,064"
"Kitimat (DM), British Columbia","8,462"
"Castlegar (CY), British Columbia","8,588"
"Columbia-Shuswap C (RDA), British Columbia","8,681"
"Nanaimo F (RDA), British Columbia","8,435"
"Trail (CY), British Columbia","8,236"
"Revelstoke (CY), British Columbia","8,541"
"Tsinstikeptum  9 (IRI), British Columbia","8,662"
"Kimberley (CY), British Columbia","8,191"
"Nanaimo G (RDA), British Columbia","8,107"
"Comox Valley A (RDA), British Columbia","7,900"
"Merritt (CY), British Columbia","7,659"
"Comox Valley B (Lazo North) (RDA), British Columbia","7,662"
"Nanaimo A (RDA), British Columbia","7,749"
"Peace River C (RDA), British Columbia","7,058"
"Cariboo A (RDA), British Columbia","6,599"
"Hope (DM), British Columbia","6,684"
"Kent (DM), British Columbia","6,640"
"Nanaimo E (RDA), British Columbia","6,663"
"East Kootenay C (RDA), British Columbia","6,458"
"Peace River D (RDA), British Columbia","5,901"
"Okanagan-Similkameen D (RDA), British Columbia","6,294"
"Peace River B (RDA), British Columbia","5,841"
"Smithers (T), British Columbia","5,681"
"Peachland (DM), British Columbia","5,868"
"Creston (T), British Columbia","5,590"
"Bulkley-Nechako A (RDA), British Columbia","5,670"
"Fernie (CY), British Columbia","5,670"
"Cariboo G (RDA), British Columbia","5,577"
"Spallumcheen (DM), British Columbia","5,505"
"Armstrong (CY), British Columbia","5,440"
"Osoyoos (T), British Columbia","5,455"
"Cowichan Valley C (RDA), British Columbia","5,166"
"Duncan (CY), British Columbia","5,256"
"Northern Rockies (RGM), British Columbia","4,402"
"Oliver (T), British Columbia","5,545"
"Census subdivisions with population under 5,000, British Columbia","526,736"
"Cowichan Valley A (RDA), British Columbia","5,193"
"Metchosin (DM), British Columbia","5,069"
"Juan de Fuca (Part 1) (RDA), British Columbia","5,306"
"Central Kootenay H (RDA), British Columbia","4,907"
"Southern Gulf Islands (RDA), British Columbia","5,018"
"Central Kootenay B (RDA), British Columbia","5,026"
"Gibsons (T), British Columbia","4,911"
"Cariboo F (RDA), British Columbia","4,771"
"Vanderhoof (DM), British Columbia","4,674"
"Strathcona D (Oyster Bay - Buttle Lake) (RDA), British Columbia","4,920"
"Fraser-Fort George D (RDA), British Columbia","4,540"
"Cariboo L (RDA), British Columbia","4,573"
"Port Hardy (DM), British Columbia","4,334"
"Cowichan Valley E (RDA), British Columbia","4,392"
"Cariboo E (RDA), British Columbia","4,224"
"Columbia-Shuswap D (RDA), British Columbia","4,368"
"Grand Forks (CY), British Columbia","4,265"
"Kitimat-Stikine E (RDA), British Columbia","4,233"
"North Okanagan F (RDA), British Columbia","4,231"
"Central Kootenay F (RDA), British Columbia","4,196"
"Nanaimo B (RDA), British Columbia","4,437"
"North Okanagan C (RDA), British Columbia","4,351"
"Nanaimo H (RDA), British Columbia","4,255"
"Central Okanagan (RDA), British Columbia","4,175"
"Cariboo B (RDA), British Columbia","3,998"
"Sparwood (DM), British Columbia","4,084"
"Cumberland (VL), British Columbia","4,599"
"Central Kootenay E (RDA), British Columbia","3,980"
"Rossland (CY), British Columbia","4,102"
"Mackenzie (DM), British Columbia","3,857"
"Golden (T), British Columbia","4,128"
"Thompson-Nicola P (Rivers and the Peaks) (RDA), British Columbia","3,979"
"Bulkley-Nechako F (RDA), British Columbia","3,842"
"Bowen Island (IM), British Columbia","3,951"
"Sunshine Coast E (RDA), British Columbia","4,009"
"Lantzville (DM), British Columbia","3,843"
"Okanagan-Similkameen C (RDA), British Columbia","3,867"
"Fraser-Fort George C (RDA), British Columbia","3,804"
"Fraser-Fort George A (RDA), British Columbia","3,760"
"Invermere (DM), British Columbia","3,723"
"Sunshine Coast D (RDA), British Columbia","3,631"
"Cowichan Valley D (RDA), British Columbia","3,605"
"Lake Cowichan (T), British Columbia","3,600"
"Kootenay Boundary D / Rural Grand Forks (RDA), British Columbia","3,302"
"North Okanagan B (RDA), British Columbia","3,365"
"Columbia-Shuswap A (RDA), British Columbia","3,493"
"Central Kootenay J (RDA), British Columbia","3,533"
"Kamloops 1 (IRI), British Columbia","3,339"
"Houston (DM), British Columbia","3,177"
"Capilano 5 (IRI), British Columbia","3,267"
"Peace River E (RDA), British Columbia","3,099"
"Enderby (CY), British Columbia","3,224"
"Cariboo D (RDA), British Columbia","3,058"
"Thompson-Nicola L (Grasslands) (RDA), British Columbia","3,110"
"Princeton (T), British Columbia","3,247"
"Kitimat-Stikine C (Part 1) (RDA), British Columbia","3,001"
"Nanaimo C (RDA), British Columbia","3,166"
"Okanagan (Part) 1 (IRI), British Columbia","3,095"
"Alberni-Clayoquot E (RDA), British Columbia","2,997"
"East Kootenay F (RDA), British Columbia","3,049"
"Sunshine Coast B (RDA), British Columbia","2,762"
"North Okanagan D (RDA), British Columbia","3,073"
"Pemberton (VL), British Columbia","3,114"
"Sunshine Coast A (RDA), British Columbia","2,859"
"Central Kootenay I (RDA), British Columbia","2,771"
"Chetwynd (DM), British Columbia","2,654"
"Elkford (DM), British Columbia","2,706"
"Columbia-Shuswap F (RDA), British Columbia","2,776"
"Cowichan Valley H (RDA), British Columbia","2,694"
"Strathcona C (RDA), British Columbia","2,579"
"Sicamous (DM), British Columbia","2,698"
"Port McNeill (T), British Columbia","2,442"
"Clearwater (DM), British Columbia","2,552"
"Cowichan Valley G (RDA), British Columbia","2,662"
"Tzeachten 13 (IRI), British Columbia","2,649"
"Lillooet (DM), British Columbia","2,212"
"Chase (VL), British Columbia","2,494"
"Highlands (DM), British Columbia","2,473"
"Anmore (VL), British Columbia","2,498"
"Okanagan-Similkameen G (RDA), British Columbia","2,345"
"Kootenay Boundary E / West Boundary (RDA), British Columbia","2,276"
"Cowichan (IRI), British Columbia","2,292"
"Powell River C (RDA), British Columbia","2,185"
"Okanagan-Similkameen F (RDA), British Columbia","1,959"
"Sunshine Coast F (RDA), British Columbia","2,148"
"Tofino (DM), British Columbia","2,524"
"Central Okanagan J (RDA), British Columbia","2,312"
"East Kootenay B (RDA), British Columbia","2,115"
"Tumbler Ridge (DM), British Columbia","2,171"
"Logan Lake (DM), British Columbia","2,245"
"East Kootenay A (RDA), British Columbia","2,138"
"Okanagan-Similkameen H (RDA), British Columbia","2,093"
"Bulkley-Nechako B (RDA), British Columbia","2,027"
"Alberni-Clayoquot F (RDA), British Columbia","2,007"
"Fruitvale (VL), British Columbia","2,037"
"Central Kootenay A (RDA), British Columbia","2,146"
"One Hundred Mile House (DM), British Columbia","2,008"
"Okanagan-Similkameen E (RDA), British Columbia","2,025"
"Kootenay Boundary A (RDA), British Columbia","2,008"
"Nisga'a (NL), British Columbia","1,894"
"Burrard Inlet 3 (IRI), British Columbia","2,359"
"Okanagan-Similkameen A (RDA), British Columbia","2,288"
"Fraser Valley H (RDA), British Columbia","2,077"
"New Songhees 1A (IRI), British Columbia","1,877"
"Lumby (VL), British Columbia","2,011"
"Burns Lake (VL), British Columbia","1,872"
"Fraser Valley G (RDA), British Columbia","2,014"
"Cariboo H (RDA), British Columbia","1,932"
"Penticton 1 (IRI), British Columbia","2,033"
"East Kootenay E (RDA), British Columbia","2,015"
"Ucluelet (DM), British Columbia","1,964"
"Barriere (DM), British Columbia","1,878"
"Squamish-Lillooet C (RDA), British Columbia","1,828"
"Warfield (VL), British Columbia","1,753"
"Central Kootenay K (RDA), British Columbia","1,821"
"East Saanich 2 (IRI), British Columbia","1,848"
"Musqueam 2 (IRI), British Columbia","1,764"
"Duck Lake 7 (IRI), British Columbia","1,845"
"Central Kootenay G (RDA), British Columbia","1,664"
"Cowichan Valley F (RDA), British Columbia","1,771"
"Alberni-Clayoquot D (RDA), British Columbia","1,676"
"Fort St. James (DM), British Columbia","1,758"
"Thompson-Nicola M (Beautiful Nicola Valley - North) (RDA), British Columbia","1,755"
"Bulkley-Nechako E (RDA), British Columbia","1,602"
"Nakusp (VL), British Columbia","1,692"
"Fraser-Fort George H (RDA), British Columbia","1,724"
"Thompson-Nicola J (Copper Desert Country) (RDA), British Columbia","1,764"
"Fraser Valley D (RDA), British Columbia","1,826"
"Fraser Valley E (RDA), British Columbia","1,737"
"Ashcroft (VL), British Columbia","1,633"
"Powell River B (RDA), British Columbia","1,657"
"Thompson-Nicola A (Wells Gray Country) (RDA), British Columbia","1,526"
"Taylor (DM), British Columbia","1,557"
"Keremeos (VL), British Columbia","1,732"
"Central Kootenay C (RDA), British Columbia","1,359"
"Kitimat-Stikine B (RDA), British Columbia","1,641"
"Bulkley-Nechako D (RDA), British Columbia","1,344"
"East Kootenay G (RDA), British Columbia","1,770"
"Harrison Hot Springs (VL), British Columbia","1,640"
"Kootenay Boundary B / Lower Columbia-Old-Glory (RDA), British Columbia","1,527"
"Cariboo I (RDA), British Columbia","1,527"
"Bulkley-Nechako C (RDA), British Columbia","1,303"
"Tsinstikeptum 10 (IRI), British Columbia","1,623"
"Telkwa (VL), British Columbia","1,413"
"Lions Bay (VL), British Columbia","1,354"
"Central Kootenay D (RDA), British Columbia","1,579"
"Kootenay Boundary C / Christina Lake (RDA), British Columbia","1,477"
"Mount Currie (IRI), British Columbia","1,366"
"Thompson-Nicola O (Lower North Thompson) (RDA), British Columbia","1,572"
"Fraser Valley F (RDA), British Columbia","1,389"
"Thompson-Nicola I (Blue Sky Country) (RDA), British Columbia","1,300"
"Fraser-Fort George F (RDA), British Columbia","1,361"
"Cariboo C (RDA), British Columbia","1,284"
"Gold River (VL), British Columbia","1,281"
"Cowichan Valley I (RDA), British Columbia","1,304"
"Columbia-Shuswap E (RDA), British Columbia","1,374"
"Salmo (VL), British Columbia","1,381"
"Powell River A (RDA), British Columbia","1,173"
"Squamish-Lillooet D (RDA), British Columbia","1,131"
"Thompson-Nicola E (Bonaparte Plateau) (RDA), British Columbia","1,170"
"Powell River D (RDA), British Columbia","1,057"
"Okanagan-Similkameen B (RDA), British Columbia","1,088"
"Bella Bella 1 (IRI), British Columbia","1,104"
"Strathcona B (RDA), British Columbia","1,115"
"Fraser Valley C (RDA), British Columbia","1,172"
"Valemount (VL), British Columbia","1,083"
"North Okanagan E (RDA), British Columbia","1,029"
"Hudson's Hope (DM), British Columbia","1,063"
"Montrose (VL), British Columbia","1,055"
"Fraser Lake (VL), British Columbia","945"
"Kaslo (VL), British Columbia","1,032"
"Cache Creek (VL), British Columbia","1,057"
"Fraser Valley B (RDA), British Columbia","910"
"Bulkley-Nechako G (RDA), British Columbia","991"
"Queen Charlotte (VL), British Columbia","956"
"Mount Waddington A (RDA), British Columbia","965"
"Skidegate 1 (IRI), British Columbia","888"
"Skowkale (IRI), British Columbia","935"
"South Saanich 1 (IRI), British Columbia","917"
"Tsawwassen (IRI), British Columbia","1,283"
"Bella Coola 1 (IRI), British Columbia","867"
"Masset (VL), British Columbia","774"
"Pouce Coupe (VL), British Columbia","834"
"Seabird Island (IRI), British Columbia","880"
"Radium Hot Springs (VL), British Columbia","844"
"Osoyoos 1 (IRI), British Columbia","774"
"Strathcona A (RDA), British Columbia","841"
"Thompson-Nicola N (Beautiful Nicola Valley - South) (RDA), British Columbia","839"
"Chemainus 13 (IRI), British Columbia","841"
"Mount Waddington C (RDA), British Columbia","923"
"Sliammon 1 (IRI), British Columbia","771"
"Alberni-Clayoquot C (RDA), British Columbia","787"
"Canal Flats (VL), British Columbia","733"
"Sechelt (Part) (IGD), British Columbia","701"
"Port Alice (VL), British Columbia","663"
"Greenwood (CY), British Columbia","696"
"Central Coast C (RDA), British Columbia","710"
"Lax Kw'alaams 1 (IRI), British Columbia","684"
"Midway (VL), British Columbia","680"
"Belcarra (VL), British Columbia","670"
"Sun Peaks Mountain (VL), British Columbia","964"
"Cariboo J (RDA), British Columbia","622"
"Clinton (VL), British Columbia","610"
"Gitanmaax 1 (IRI), British Columbia","671"
"Marktosis 15 (IRI), British Columbia","628"
"Priest's Valley 6 (IRI), British Columbia","677"
"McBride (VL), British Columbia","671"
"Kispiox 1 (IRI), British Columbia","610"
"Columbia-Shuswap B (RDA), British Columbia","685"
"Mission 1 (IRI), British Columbia","645"
"New Hazelton (DM), British Columbia","614"
"Masset 1 (IRI), British Columbia","632"
"Nak'azdli (Necoslie 1) (IRI), British Columbia","453"
"Tsahaheh 1 (IRI), British Columbia","587"
"Chehalis 5 (IRI), British Columbia","611"
