"Geography","Persons"
"Long Harbour-Mount Arlington Heights (T), Newfoundland and Labrador","253"
"St. Bride's (T), Newfoundland and Labrador","238"
"Parkers Cove (T), Newfoundland and Labrador","235"
"Rushoon (T), Newfoundland and Labrador","233"
"Division No.  2, Subd. E (SNO), Newfoundland and Labrador","243"
"Fleur de Lys (T), Newfoundland and Labrador","235"
"Bay L'Argent (T), Newfoundland and Labrador","229"
"Main Brook (T), Newfoundland and Labrador","233"
"Seal Cove (Fortune Bay) (T), Newfoundland and Labrador","227"
"St. Pauls (T), Newfoundland and Labrador","230"
"Grand le Pierre (T), Newfoundland and Labrador","224"
"Gaskiers-Point La Haye (T), Newfoundland and Labrador","235"
"Point May (T), Newfoundland and Labrador","219"
"Come By Chance (T), Newfoundland and Labrador","232"
"Division No.  7, Subd. D (SNO), Newfoundland and Labrador","221"
"Sandringham (T), Newfoundland and Labrador","221"
"Branch (T), Newfoundland and Labrador","231"
"Division No.  2, Subd. D (SNO), Newfoundland and Labrador","216"
"Glenburnie-Birchy Head-Shoal Brook (T), Newfoundland and Labrador","214"
"L'Anse-au-Clair (T), Newfoundland and Labrador","216"
"Division No.  8, Subd. I (SNO), Newfoundland and Labrador","210"
"River of Ponds (T), Newfoundland and Labrador","207"
"Division No.  5, Subd. E (SNO), Newfoundland and Labrador","214"
"Heart's Desire (T), Newfoundland and Labrador","215"
"Change Islands (T), Newfoundland and Labrador","201"
"Howley (T), Newfoundland and Labrador","203"
"Happy Adventure (T), Newfoundland and Labrador","192"
"Westport (T), Newfoundland and Labrador","190"
"Division No.  6, Subd. E (SNO), Newfoundland and Labrador","192"
"St. Lewis (T), Newfoundland and Labrador","194"
"Pool's Cove (T), Newfoundland and Labrador","183"
"Woodstock (T), Newfoundland and Labrador","184"
"Red Harbour (T), Newfoundland and Labrador","179"
"Brighton (T), Newfoundland and Labrador","183"
"New Perlican (T), Newfoundland and Labrador","189"
"Riverhead (T), Newfoundland and Labrador","188"
"Bird Cove (T), Newfoundland and Labrador","173"
"Postville (T), Newfoundland and Labrador","185"
"Division No.  2, Subd. H (SNO), Newfoundland and Labrador","167"
"Crow Head (T), Newfoundland and Labrador","172"
"Raleigh (T), Newfoundland and Labrador","170"
"Indian Bay (T), Newfoundland and Labrador","168"
"Goose Cove East (T), Newfoundland and Labrador","169"
"Conche (T), Newfoundland and Labrador","164"
"Frenchman's Cove (T), Newfoundland and Labrador","159"
"Trinity (Trinity Bay) (T), Newfoundland and Labrador","161"
"Red Bay (T), Newfoundland and Labrador","168"
"Lushes Bight-Beaumont-Beaumont North (T), Newfoundland and Labrador","163"
"Pacquet (T), Newfoundland and Labrador","159"
"Lord's Cove (T), Newfoundland and Labrador","154"
"Division No.  9, Subd. H (SNO), Newfoundland and Labrador","154"
"Brent's Cove (T), Newfoundland and Labrador","153"
"Point of Bay (T), Newfoundland and Labrador","149"
"Portugal Cove South (T), Newfoundland and Labrador","152"
"St. Brendan's (T), Newfoundland and Labrador","141"
"Division No.  7, Subd. A (SNO), Newfoundland and Labrador","139"
"English Harbour East (T), Newfoundland and Labrador","132"
"Rencontre East (T), Newfoundland and Labrador","131"
"Division No.  2, Subd. I (SNO), Newfoundland and Labrador","129"
"Admirals Beach (T), Newfoundland and Labrador","137"
"Gaultois (T), Newfoundland and Labrador","129"
"Beachside (T), Newfoundland and Labrador","128"
"Division No.  8, Subd. M (SNO), Newfoundland and Labrador","127"
"Port Anson (T), Newfoundland and Labrador","126"
"Division No.  6, Subd. A (SNO), Newfoundland and Labrador","129"
"Little Bay East (T), Newfoundland and Labrador","121"
"Baine Harbour (T), Newfoundland and Labrador","117"
"Salvage (T), Newfoundland and Labrador","119"
"Cook's Harbour (T), Newfoundland and Labrador","118"
"Sandy Cove (T), Newfoundland and Labrador","116"
"Division No.  9, Subd. A (SNO), Newfoundland and Labrador","115"
"Division No.  3, Subd. F (SNO), Newfoundland and Labrador","113"
"Division No.  2, Subd. F (SNO), Newfoundland and Labrador","111"
"St. Joseph's (T), Newfoundland and Labrador","116"
"West St. Modeste (T), Newfoundland and Labrador","111"
"Little Bay (T), Newfoundland and Labrador","102"
"Coachman's Cove (T), Newfoundland and Labrador","102"
"Miles Cove (T), Newfoundland and Labrador","101"
"Point Lance (T), Newfoundland and Labrador","104"
"Morrisville (T), Newfoundland and Labrador","95"
"Division No.  1, Subd. C (SNO), Newfoundland and Labrador","101"
"King's Cove (T), Newfoundland and Labrador","86"
"Division No.  3, Subd. E (SNO), Newfoundland and Labrador","84"
"Division No.  1, Subd. D (SNO), Newfoundland and Labrador","89"
"Point au Gaul (T), Newfoundland and Labrador","83"
"Pinware (T), Newfoundland and Labrador","87"
"Division No.  3, Subd. I (SNO), Newfoundland and Labrador","82"
"Nippers Harbour (T), Newfoundland and Labrador","82"
"Millertown (T), Newfoundland and Labrador","81"
"Aquaforte (T), Newfoundland and Labrador","81"
"Colinet (T), Newfoundland and Labrador","81"
"Terra Nova (T), Newfoundland and Labrador","69"
"Division No. 10, Subd. C (SNO), Newfoundland and Labrador","71"
"Division No.  7, Subd. I (SNO), Newfoundland and Labrador","67"
"Division No.  9, Subd. F (SNO), Newfoundland and Labrador","69"
"Little Bay Islands (T), Newfoundland and Labrador","66"
"St. Shott's (T), Newfoundland and Labrador","66"
"Division No. 10, Subd. A (SNO), Newfoundland and Labrador","62"
"Port Kirwan (T), Newfoundland and Labrador","53"
"Bellburns (T), Newfoundland and Labrador","51"
"Division No.  3, Subd. J (SNO), Newfoundland and Labrador","48"
"Keels (T), Newfoundland and Labrador","49"
"Gallants (T), Newfoundland and Labrador","48"
"Division No.  7, Subd. N (SNO), Newfoundland and Labrador","47"
"Division No.  9, Subd. G (SNO), Newfoundland and Labrador","40"
"Division No.  1, Subd. V (SNO), Newfoundland and Labrador","37"
"Division No.  5, Subd. D (SNO), Newfoundland and Labrador","35"
"Duntara (T), Newfoundland and Labrador","30"
"Division No.  1, Subd. K (SNO), Newfoundland and Labrador","28"
"Division No.  3, Subd. A (SNO), Newfoundland and Labrador","24"
"Sally's Cove (T), Newfoundland and Labrador","20"
"Division No.  2, Subd. G (SNO), Newfoundland and Labrador","10"
"Division No.  7, Subd. B (SNO), Newfoundland and Labrador","10"
"Division No.  8, Subd. D (SNO), Newfoundland and Labrador","10"
"Tilt Cove (T), Newfoundland and Labrador","5"
"Division No.  1, Subd. J (SNO), Newfoundland and Labrador","0"
"Division No.  2, Subd. J (SNO), Newfoundland and Labrador","0"
"Division No.  2, Subd. L (SNO), Newfoundland and Labrador","0"
"Division No.  3, Subd. B (SNO), Newfoundland and Labrador","0"
"Division No.  3, Subd. C (SNO), Newfoundland and Labrador","0"
"Division No. 10, Subd. E (SNO), Newfoundland and Labrador","0"
"Division No. 11, Subd. C (SNO), Newfoundland and Labrador","0"
"Division No. 11, Subd. E (SNO), Newfoundland and Labrador","0"
"Prince Edward Island","161,305"
"Census subdivisions with 5,000-plus population, Prince Edward Island","75,697"
"Charlottetown (CY), Prince Edward Island","42,246"
"Summerside (CY), Prince Edward Island","15,779"
"Stratford (T), Prince Edward Island","11,445"
"Cornwall (T), Prince Edward Island","6,227"
"Census subdivisions with population under 5,000, Prince Edward Island","85,608"
"Lot 34 (LOT), Prince Edward Island","3,383"
"Lot 65 (LOT), Prince Edward Island","2,775"
"Lot 48 (LOT), Prince Edward Island","2,377"
"Montague (T), Prince Edward Island","2,117"
"Lot 19 (LOT), Prince Edward Island","2,061"
"Lot 31 (LOT), Prince Edward Island","2,052"
"Lot 24 (LOT), Prince Edward Island","2,014"
"Lot  1 (LOT), Prince Edward Island","1,831"
"Lot 35 (LOT), Prince Edward Island","1,885"
"Kensington (T), Prince Edward Island","1,876"
"Lot  2 (LOT), Prince Edward Island","1,561"
"Lot 33 (LOT), Prince Edward Island","1,543"
"Lot  5 (LOT), Prince Edward Island","1,234"
"Lot 59 (LOT), Prince Edward Island","1,314"
"Miltonvale Park (COM), Prince Edward Island","1,381"
"Lot 25 (LOT), Prince Edward Island","1,235"
"Alberton (T), Prince Edward Island","1,314"
"Lot  4 (LOT), Prince Edward Island","1,195"
"Lot 15 (LOT), Prince Edward Island","1,144"
"Lot 49 (LOT), Prince Edward Island","1,237"
"Lot 18 (LOT), Prince Edward Island","1,264"
"Souris (T), Prince Edward Island","1,068"
"Lot 26 (LOT), Prince Edward Island","1,086"
"Lot 23 (LOT), Prince Edward Island","1,101"
"Lot 57 (LOT), Prince Edward Island","1,129"
"Lot 50 (LOT), Prince Edward Island","1,100"
"Lot 64 (LOT), Prince Edward Island","923"
"Lot 29 (LOT), Prince Edward Island","1,033"
"Miscouche (COM), Prince Edward Island","889"
"Lot 30 (LOT), Prince Edward Island","983"
"Lot 21 (LOT), Prince Edward Island","896"
"Lot 20 (LOT), Prince Edward Island","915"
"Lot 67 (LOT), Prince Edward Island","837"
"Lot 28 (LOT), Prince Edward Island","848"
"Lot  6 (LOT), Prince Edward Island","978"
"O'Leary (COM), Prince Edward Island","871"
"Lot 63 (LOT), Prince Edward Island","1,024"
"Lot 51 (LOT), Prince Edward Island","945"
"Lot 12 (LOT), Prince Edward Island","878"
"Lot 44 (LOT), Prince Edward Island","661"
"Lot  3 (LOT), Prince Edward Island","816"
"Lot 36 (LOT), Prince Edward Island","931"
"Lot 14 (LOT), Prince Edward Island","787"
"Lot 61 (LOT), Prince Edward Island","809"
"Lot 52 (LOT), Prince Edward Island","728"
"Borden-Carleton (T), Prince Edward Island","776"
"Lot 27 (LOT), Prince Edward Island","673"
"Tignish (COM), Prince Edward Island","678"
"Lot 16 (LOT), Prince Edward Island","739"
"Lot 13 (LOT), Prince Edward Island","814"
"Lot 43 (LOT), Prince Edward Island","680"
"Clyde River (COM), Prince Edward Island","758"
"Lot 39 (LOT), Prince Edward Island","680"
"Lot 22 (LOT), Prince Edward Island","707"
"North Rustico (COM), Prince Edward Island","701"
"Lot 37 (LOT), Prince Edward Island","679"
"Lot 17 (LOT), Prince Edward Island","655"
"Lot 62 (LOT), Prince Edward Island","654"
"Georgetown (T), Prince Edward Island","750"
"Lot  8 (LOT), Prince Edward Island","585"
"Lot 38 (LOT), Prince Edward Island","575"
"Lot 11 (LOT), Prince Edward Island","516"
"Lot 53 (LOT), Prince Edward Island","545"
"Lot 47 (LOT), Prince Edward Island","537"
"Lot 45 (LOT), Prince Edward Island","616"
"Lot  7 (LOT), Prince Edward Island","490"
"Lot 58 (LOT), Prince Edward Island","439"
"Lot 40 (LOT), Prince Edward Island","498"
"Wellington (COM), Prince Edward Island","483"
"Lot 41 (LOT), Prince Edward Island","441"
"Lot 55 (LOT), Prince Edward Island","443"
"Brackley (COM), Prince Edward Island","432"
"Warren Grove (COM), Prince Edward Island","370"
"Meadowbank (COM), Prince Edward Island","411"
"Hunter River (COM), Prince Edward Island","374"
